"espncricinfo_id","Date","Opposition"
858809,2017-02-17,"NZ Women"
858809,2017-02-19,"NZ Women"
858809,2017-02-22,"NZ Women"
858809,2017-11-17,"ENG Women"
858809,2017-11-19,"ENG Women"
858809,2017-11-21,"ENG Women"
858809,2018-03-22,"India Women"
858809,2018-03-23,"ENG Women"
858809,2018-03-26,"India Women"
858809,2018-03-28,"ENG Women"
858809,2018-03-31,"ENG Women"
858809,2018-09-29,"NZ Women"
858809,2018-10-01,"NZ Women"
858809,2018-10-05,"NZ Women"
858809,2018-10-25,"PAK Women"
858809,2018-10-27,"PAK Women"
858809,2018-10-29,"PAK Women"
858809,2018-11-09,"PAK Women"
858809,2018-11-11,"IRE Women"
858809,2018-11-13,"NZ Women"
858809,2018-11-17,"India Women"
858809,2018-11-22,"WI Women"
858809,2018-11-24,"ENG Women"
858809,2019-07-26,"ENG Women"
858809,2019-07-28,"ENG Women"
858809,2019-07-31,"ENG Women"
858809,2019-09-14,"WI Women"
858809,2019-09-16,"WI Women"
858809,2019-09-29,"SL Women"
858809,2020-02-01,"ENG Women"
858809,2020-02-02,"India Women"
858809,2020-02-08,"India Women"
858809,2020-02-09,"ENG Women"
858809,2020-02-12,"India Women"
858809,2020-02-21,"India Women"
858809,2020-02-24,"SL Women"
858809,2020-02-27,"BAN Women"
858809,2020-03-02,"NZ Women"
858809,2020-03-05,"SA Women"
858809,2020-03-08,"India Women"
858809,2020-09-26,"NZ Women"
858809,2020-09-27,"NZ Women"
858809,2020-09-30,"NZ Women"
858809,2021-03-28,"NZ Women"
858809,2021-03-30,"NZ Women"
858809,2021-04-01,"NZ Women"
858809,2021-10-07,"India Women"
858809,2021-10-09,"India Women"
858809,2021-10-10,"India Women"
858809,2022-01-20,"ENG Women"
858809,2022-01-22,"ENG Women"
858809,2022-07-16,"PAK Women"
858809,2022-07-17,"IRE Women"
858809,2022-07-21,"IRE Women"
858809,2022-07-23,"PAK Women"
858809,2022-07-29,"India Women"
858809,2022-07-31,"Barbados Wmn"
858809,2022-08-03,"PAK Women"
858809,2022-08-06,"NZ Women"
858809,2022-08-07,"India Women"
858809,2022-12-09,"India Women"
858809,2022-12-11,"India Women"
858809,2022-12-14,"India Women"
858809,2022-12-17,"India Women"
858809,2022-12-20,"India Women"
858809,2023-01-24,"PAK Women"
858809,2023-01-26,"PAK Women"
858809,2023-02-11,"NZ Women"
858809,2023-02-14,"BAN Women"
858809,2023-02-16,"SL Women"
858809,2023-02-18,"SA Women"
858809,2023-02-23,"India Women"
858809,2023-02-26,"SA Women"
858809,2023-07-01,"ENG Women"
858809,2023-07-05,"ENG Women"
858809,2023-07-08,"ENG Women"
858809,2023-10-01,"WI Women"
858809,2023-10-02,"WI Women"
858809,2023-10-05,"WI Women"
858809,2024-01-05,"India Women"
858809,2024-01-07,"India Women"
858809,2024-01-09,"India Women"
858809,2024-01-27,"SA Women"
858809,2024-01-28,"SA Women"
858809,2024-01-30,"SA Women"
858809,2024-03-31,"BAN Women"
858809,2024-04-02,"BAN Women"
858809,2024-04-04,"BAN Women"
858809,2024-09-22,"NZ Women"
858809,2024-09-24,"NZ Women"
858809,2024-10-05,"SL Women"
858809,2024-10-08,"NZ Women"
858809,2024-10-11,"PAK Women"
858809,2024-10-13,"India Women"
858809,2024-10-17,"SA Women"
944393,2022-01-20,"ENG Women"
944393,2022-01-22,"ENG Women"
944393,2022-07-16,"PAK Women"
944393,2022-07-17,"IRE Women"
944393,2022-07-21,"IRE Women"
944393,2022-07-23,"PAK Women"
944393,2022-07-29,"India Women"
944393,2022-07-31,"Barbados Wmn"
944393,2022-08-03,"PAK Women"
944393,2022-08-06,"NZ Women"
944393,2022-08-07,"India Women"
944393,2022-12-09,"India Women"
944393,2022-12-11,"India Women"
944393,2022-12-14,"India Women"
944393,2022-12-17,"India Women"
944393,2022-12-20,"India Women"
944393,2023-01-24,"PAK Women"
944393,2023-01-26,"PAK Women"
944393,2023-02-11,"NZ Women"
944393,2023-02-14,"BAN Women"
944393,2023-02-16,"SL Women"
944393,2023-02-18,"SA Women"
1071705,2020-02-01,"ENG Women"
1071705,2020-02-02,"India Women"
1071705,2020-02-12,"India Women"
1071705,2020-02-21,"India Women"
1071705,2020-02-27,"BAN Women"
1071705,2020-03-02,"NZ Women"
1071705,2021-10-10,"India Women"
1071705,2022-07-21,"IRE Women"
1071705,2022-12-09,"India Women"
1071705,2022-12-11,"India Women"
1071705,2022-12-14,"India Women"
1071705,2022-12-17,"India Women"
1071705,2022-12-20,"India Women"
1071705,2023-01-24,"PAK Women"
1071705,2023-01-26,"PAK Women"
1071705,2023-02-18,"SA Women"
1071705,2023-07-01,"ENG Women"
1071705,2023-07-05,"ENG Women"
1071705,2023-07-08,"ENG Women"
1071705,2023-10-01,"WI Women"
1071705,2023-10-02,"WI Women"
1071705,2023-10-05,"WI Women"
1071705,2024-01-05,"India Women"
1071705,2024-01-07,"India Women"
1071705,2024-01-09,"India Women"
1071705,2024-01-27,"SA Women"
1071705,2024-01-28,"SA Women"
1071705,2024-01-30,"SA Women"
1071705,2024-03-31,"BAN Women"
1071705,2024-04-02,"BAN Women"
1071705,2024-04-04,"BAN Women"
1071705,2024-09-19,"NZ Women"
1071705,2024-09-22,"NZ Women"
1071705,2024-09-24,"NZ Women"
1071705,2024-10-05,"SL Women"
1071705,2024-10-08,"NZ Women"
1071705,2024-10-11,"PAK Women"
1071705,2024-10-13,"India Women"
1071705,2024-10-17,"SA Women"
275486,2010-02-21,"NZ Women"
275486,2010-02-22,"NZ Women"
275486,2010-02-23,"NZ Women"
275486,2010-02-26,"NZ Women"
275486,2010-02-28,"NZ Women"
275486,2010-05-05,"ENG Women"
275486,2010-05-07,"SA Women"
275486,2010-05-09,"WI Women"
275486,2010-05-13,"India Women"
275486,2010-05-16,"NZ Women"
275486,2010-12-30,"NZ Women"
275486,2011-01-12,"ENG Women"
275486,2011-01-14,"ENG Women"
275486,2011-01-16,"ENG Women"
275486,2011-01-18,"ENG Women"
275486,2011-02-18,"NZ Women"
275486,2011-02-19,"NZ Women"
275486,2011-02-20,"NZ Women"
275486,2012-01-20,"NZ Women"
275486,2012-02-03,"NZ Women"
275486,2012-03-21,"India Women"
275486,2012-03-22,"India Women"
275486,2012-03-23,"India Women"
275486,2012-09-27,"India Women"
275486,2012-09-29,"PAK Women"
275486,2012-10-01,"ENG Women"
275486,2012-10-05,"WI Women"
275486,2012-10-07,"ENG Women"
275486,2013-01-22,"NZ Women"
275486,2013-01-24,"NZ Women"
275486,2013-08-27,"ENG Women"
275486,2013-08-29,"ENG Women"
275486,2013-08-31,"ENG Women"
275486,2014-01-29,"ENG Women"
275486,2014-01-31,"ENG Women"
275486,2014-02-02,"ENG Women"
275486,2014-03-23,"NZ Women"
275486,2014-03-25,"SA Women"
275486,2014-03-27,"IRE Women"
275486,2014-03-29,"PAK Women"
275486,2014-04-03,"WI Women"
275486,2014-04-06,"ENG Women"
275486,2014-08-30,"PAK Women"
275486,2014-08-31,"PAK Women"
275486,2014-09-03,"PAK Women"
275486,2014-09-05,"PAK Women"
275486,2014-11-02,"WI Women"
275486,2014-11-05,"WI Women"
275486,2014-11-07,"WI Women"
275486,2014-11-09,"WI Women"
275486,2015-08-19,"IRE Women"
275486,2015-08-21,"IRE Women"
275486,2015-08-22,"IRE Women"
275486,2015-08-26,"ENG Women"
275486,2015-08-28,"ENG Women"
275486,2015-08-31,"ENG Women"
275486,2016-01-26,"India Women"
275486,2016-01-29,"India Women"
275486,2016-01-31,"India Women"
275486,2016-02-28,"NZ Women"
275486,2016-03-01,"NZ Women"
275486,2016-03-04,"NZ Women"
275486,2016-03-18,"SA Women"
275486,2016-03-21,"NZ Women"
275486,2016-03-24,"SL Women"
275486,2016-03-26,"IRE Women"
275486,2016-03-30,"ENG Women"
275486,2016-04-03,"WI Women"
275486,2016-09-27,"SL Women"
275486,2017-02-17,"NZ Women"
275486,2017-02-19,"NZ Women"
275486,2017-02-22,"NZ Women"
275486,2017-11-17,"ENG Women"
275486,2017-11-19,"ENG Women"
275486,2017-11-21,"ENG Women"
275486,2018-03-22,"India Women"
275486,2018-03-23,"ENG Women"
275486,2018-03-26,"India Women"
275486,2018-03-28,"ENG Women"
275486,2018-03-31,"ENG Women"
275486,2018-09-29,"NZ Women"
275486,2018-10-01,"NZ Women"
275486,2018-10-05,"NZ Women"
275486,2018-10-25,"PAK Women"
275486,2018-10-27,"PAK Women"
275486,2018-10-29,"PAK Women"
275486,2018-11-09,"PAK Women"
275486,2018-11-11,"IRE Women"
275486,2018-11-13,"NZ Women"
275486,2018-11-17,"India Women"
275486,2018-11-22,"WI Women"
275486,2018-11-24,"ENG Women"
275486,2019-07-26,"ENG Women"
275486,2019-07-28,"ENG Women"
275486,2019-07-31,"ENG Women"
275486,2019-09-14,"WI Women"
275486,2019-09-16,"WI Women"
275486,2019-09-18,"WI Women"
275486,2019-09-29,"SL Women"
275486,2019-09-30,"SL Women"
275486,2019-10-02,"SL Women"
275486,2020-02-01,"ENG Women"
275486,2020-02-02,"India Women"
275486,2020-02-08,"India Women"
275486,2020-02-09,"ENG Women"
275486,2020-02-12,"India Women"
275486,2020-02-21,"India Women"
275486,2020-02-24,"SL Women"
275486,2020-02-27,"BAN Women"
275486,2020-03-02,"NZ Women"
275486,2020-03-05,"SA Women"
275486,2020-03-08,"India Women"
275486,2020-09-26,"NZ Women"
275486,2020-09-27,"NZ Women"
275486,2020-09-30,"NZ Women"
275486,2021-03-28,"NZ Women"
275486,2021-03-30,"NZ Women"
275486,2021-04-01,"NZ Women"
275486,2021-10-07,"India Women"
275486,2021-10-09,"India Women"
275486,2021-10-10,"India Women"
275486,2022-01-20,"ENG Women"
275486,2022-01-22,"ENG Women"
275486,2022-07-16,"PAK Women"
275486,2022-07-17,"IRE Women"
275486,2022-07-21,"IRE Women"
275486,2022-07-23,"PAK Women"
275486,2022-07-29,"India Women"
275486,2022-07-31,"Barbados Wmn"
275486,2022-08-03,"PAK Women"
275486,2022-08-06,"NZ Women"
275486,2022-08-07,"India Women"
275486,2022-12-09,"India Women"
275486,2022-12-11,"India Women"
275486,2022-12-14,"India Women"
275486,2022-12-17,"India Women"
275486,2023-02-11,"NZ Women"
275486,2023-02-14,"BAN Women"
275486,2023-02-16,"SL Women"
275486,2023-02-23,"India Women"
275486,2023-02-26,"SA Women"
275486,2023-07-01,"ENG Women"
275486,2023-07-05,"ENG Women"
275486,2023-07-08,"ENG Women"
275486,2023-10-01,"WI Women"
275486,2023-10-02,"WI Women"
275486,2023-10-05,"WI Women"
275486,2024-01-05,"India Women"
275486,2024-01-07,"India Women"
275486,2024-01-09,"India Women"
275486,2024-01-27,"SA Women"
275486,2024-01-28,"SA Women"
275486,2024-01-30,"SA Women"
275486,2024-03-31,"BAN Women"
275486,2024-04-02,"BAN Women"
275486,2024-04-04,"BAN Women"
275486,2024-09-19,"NZ Women"
275486,2024-09-22,"NZ Women"
275486,2024-09-24,"NZ Women"
275486,2024-10-05,"SL Women"
275486,2024-10-08,"NZ Women"
275486,2024-10-11,"PAK Women"
381258,2016-01-26,"India Women"
381258,2016-01-29,"India Women"
381258,2016-01-31,"India Women"
381258,2016-02-28,"NZ Women"
381258,2016-03-21,"NZ Women"
381258,2016-03-24,"SL Women"
381258,2016-03-26,"IRE Women"
381258,2016-03-30,"ENG Women"
381258,2016-04-03,"WI Women"
381258,2016-09-27,"SL Women"
381258,2017-02-17,"NZ Women"
381258,2017-02-19,"NZ Women"
381258,2017-02-22,"NZ Women"
381258,2017-11-17,"ENG Women"
381258,2017-11-19,"ENG Women"
381258,2017-11-21,"ENG Women"
381258,2018-03-22,"India Women"
381258,2018-03-23,"ENG Women"
381258,2018-03-26,"India Women"
381258,2018-03-31,"ENG Women"
381258,2018-09-29,"NZ Women"
381258,2018-10-01,"NZ Women"
381258,2018-10-05,"NZ Women"
381258,2018-10-25,"PAK Women"
381258,2018-10-27,"PAK Women"
381258,2018-10-29,"PAK Women"
381258,2018-11-09,"PAK Women"
381258,2018-11-11,"IRE Women"
381258,2018-11-13,"NZ Women"
381258,2018-11-17,"India Women"
381258,2018-11-22,"WI Women"
381258,2018-11-24,"ENG Women"
381258,2019-07-26,"ENG Women"
381258,2019-07-28,"ENG Women"
381258,2019-07-31,"ENG Women"
381258,2019-09-14,"WI Women"
381258,2019-09-16,"WI Women"
381258,2019-09-18,"WI Women"
381258,2019-09-29,"SL Women"
381258,2019-09-30,"SL Women"
381258,2019-10-02,"SL Women"
381258,2020-02-01,"ENG Women"
381258,2020-02-02,"India Women"
381258,2020-02-08,"India Women"
381258,2020-02-09,"ENG Women"
381258,2020-02-12,"India Women"
381258,2020-02-21,"India Women"
381258,2020-02-24,"SL Women"
381258,2020-02-27,"BAN Women"
381258,2020-03-02,"NZ Women"
381258,2020-03-05,"SA Women"
381258,2020-03-08,"India Women"
381258,2020-09-26,"NZ Women"
381258,2020-09-27,"NZ Women"
381258,2020-09-30,"NZ Women"
381258,2021-03-28,"NZ Women"
381258,2021-03-30,"NZ Women"
381258,2021-04-01,"NZ Women"
381258,2021-10-07,"India Women"
381258,2021-10-09,"India Women"
381258,2021-10-10,"India Women"
381258,2022-07-16,"PAK Women"
381258,2022-07-17,"IRE Women"
381258,2022-07-21,"IRE Women"
381258,2022-07-23,"PAK Women"
381258,2022-07-29,"India Women"
381258,2022-07-31,"Barbados Wmn"
381258,2022-08-03,"PAK Women"
381258,2022-08-06,"NZ Women"
381258,2022-08-07,"India Women"
381258,2022-12-09,"India Women"
381258,2022-12-11,"India Women"
381258,2022-12-14,"India Women"
381258,2022-12-17,"India Women"
381258,2022-12-20,"India Women"
381258,2023-01-24,"PAK Women"
381258,2023-01-26,"PAK Women"
381258,2023-02-11,"NZ Women"
381258,2023-02-14,"BAN Women"
381258,2023-02-16,"SL Women"
381258,2023-02-18,"SA Women"
381258,2023-02-23,"India Women"
381258,2023-02-26,"SA Women"
381258,2023-07-01,"ENG Women"
381258,2023-07-05,"ENG Women"
381258,2023-07-08,"ENG Women"
381258,2023-10-01,"WI Women"
381258,2023-10-02,"WI Women"
381258,2023-10-05,"WI Women"
381258,2024-01-05,"India Women"
381258,2024-01-07,"India Women"
381258,2024-01-09,"India Women"
381258,2024-01-27,"SA Women"
381258,2024-01-28,"SA Women"
381258,2024-01-30,"SA Women"
381258,2024-03-31,"BAN Women"
381258,2024-04-02,"BAN Women"
381258,2024-04-04,"BAN Women"
381258,2024-09-19,"NZ Women"
381258,2024-09-22,"NZ Women"
381258,2024-09-24,"NZ Women"
381258,2024-10-05,"SL Women"
381258,2024-10-08,"NZ Women"
381258,2024-10-11,"PAK Women"
381258,2024-10-13,"India Women"
381258,2024-10-17,"SA Women"
388845,2021-03-30,"NZ Women"
388845,2022-01-22,"ENG Women"
388845,2022-07-16,"PAK Women"
388845,2022-07-17,"IRE Women"
388845,2022-07-21,"IRE Women"
388845,2022-07-29,"India Women"
388845,2022-07-31,"Barbados Wmn"
388845,2022-08-03,"PAK Women"
388845,2022-08-06,"NZ Women"
388845,2022-08-07,"India Women"
388845,2022-12-14,"India Women"
388845,2022-12-17,"India Women"
388845,2022-12-20,"India Women"
388845,2023-01-24,"PAK Women"
388845,2023-01-26,"PAK Women"
388845,2023-02-11,"NZ Women"
388845,2023-02-14,"BAN Women"
388845,2023-02-16,"SL Women"
388845,2023-02-18,"SA Women"
388845,2023-02-23,"India Women"
388845,2023-02-26,"SA Women"
388845,2023-07-01,"ENG Women"
388845,2023-07-05,"ENG Women"
388845,2023-07-08,"ENG Women"
388845,2023-10-01,"WI Women"
388845,2023-10-02,"WI Women"
388845,2023-10-05,"WI Women"
388845,2024-01-05,"India Women"
388845,2024-01-27,"SA Women"
388845,2024-01-30,"SA Women"
388845,2024-09-22,"NZ Women"
388845,2024-10-05,"SL Women"
388845,2024-10-13,"India Women"
388845,2024-10-17,"SA Women"
263473,2008-10-28,"India Women"
263473,2014-03-25,"SA Women"
263473,2014-03-27,"IRE Women"
263473,2014-08-30,"PAK Women"
263473,2014-08-31,"PAK Women"
263473,2014-09-03,"PAK Women"
263473,2014-09-05,"PAK Women"
263473,2014-11-09,"WI Women"
263473,2017-11-17,"ENG Women"
263473,2017-11-19,"ENG Women"
263473,2017-11-21,"ENG Women"
263473,2018-03-22,"India Women"
263473,2018-03-23,"ENG Women"
263473,2018-03-26,"India Women"
263473,2018-03-28,"ENG Women"
263473,2018-03-31,"ENG Women"
263473,2018-09-29,"NZ Women"
263473,2018-10-01,"NZ Women"
263473,2018-10-05,"NZ Women"
263473,2018-10-25,"PAK Women"
263473,2018-10-27,"PAK Women"
263473,2018-10-29,"PAK Women"
263473,2018-11-09,"PAK Women"
263473,2018-11-11,"IRE Women"
263473,2018-11-13,"NZ Women"
263473,2018-11-17,"India Women"
263473,2018-11-22,"WI Women"
263473,2018-11-24,"ENG Women"
263473,2019-07-26,"ENG Women"
263473,2019-07-28,"ENG Women"
263473,2019-07-31,"ENG Women"
263473,2019-09-14,"WI Women"
263473,2019-09-16,"WI Women"
263473,2019-09-18,"WI Women"
263473,2019-09-29,"SL Women"
263473,2020-02-01,"ENG Women"
263473,2020-02-08,"India Women"
263473,2020-02-21,"India Women"
263473,2020-02-24,"SL Women"
263473,2020-03-05,"SA Women"
263473,2020-03-08,"India Women"
263473,2020-09-26,"NZ Women"
263473,2020-09-27,"NZ Women"
263473,2020-09-30,"NZ Women"
275487,2008-02-01,"ENG Women"
275487,2008-03-06,"NZ Women"
275487,2009-02-15,"NZ Women"
275487,2009-06-01,"NZ Women"
275487,2009-06-02,"NZ Women"
275487,2009-06-12,"NZ Women"
275487,2009-06-14,"WI Women"
275487,2009-06-16,"SA Women"
275487,2009-06-19,"ENG Women"
275487,2010-02-21,"NZ Women"
275487,2010-02-22,"NZ Women"
275487,2010-02-23,"NZ Women"
275487,2010-02-26,"NZ Women"
275487,2010-02-28,"NZ Women"
275487,2010-05-05,"ENG Women"
275487,2010-05-07,"SA Women"
275487,2010-05-09,"WI Women"
275487,2010-05-13,"India Women"
275487,2010-05-16,"NZ Women"
275487,2010-12-30,"NZ Women"
275487,2011-01-12,"ENG Women"
275487,2011-01-14,"ENG Women"
275487,2011-01-16,"ENG Women"
275487,2011-01-18,"ENG Women"
275487,2011-02-18,"NZ Women"
275487,2011-02-19,"NZ Women"
275487,2011-02-20,"NZ Women"
275487,2012-01-20,"NZ Women"
275487,2012-01-21,"NZ Women"
275487,2012-01-22,"NZ Women"
275487,2012-02-03,"NZ Women"
275487,2012-03-18,"India Women"
275487,2012-03-19,"India Women"
275487,2012-03-21,"India Women"
275487,2012-03-22,"India Women"
275487,2012-03-23,"India Women"
275487,2012-09-27,"India Women"
275487,2012-09-29,"PAK Women"
275487,2012-10-01,"ENG Women"
275487,2012-10-05,"WI Women"
275487,2012-10-07,"ENG Women"
275487,2013-01-22,"NZ Women"
275487,2013-01-22,"NZ Women"
275487,2013-01-24,"NZ Women"
275487,2013-08-27,"ENG Women"
275487,2013-08-29,"ENG Women"
275487,2013-08-31,"ENG Women"
275487,2014-01-29,"ENG Women"
275487,2014-01-31,"ENG Women"
275487,2014-02-02,"ENG Women"
275487,2014-03-23,"NZ Women"
275487,2014-03-25,"SA Women"
275487,2014-03-27,"IRE Women"
275487,2014-03-29,"PAK Women"
275487,2014-04-03,"WI Women"
275487,2014-04-06,"ENG Women"
275487,2014-08-31,"PAK Women"
275487,2014-09-03,"PAK Women"
275487,2014-09-05,"PAK Women"
275487,2014-11-02,"WI Women"
275487,2014-11-05,"WI Women"
275487,2014-11-07,"WI Women"
275487,2014-11-09,"WI Women"
275487,2015-08-19,"IRE Women"
275487,2015-08-21,"IRE Women"
275487,2015-08-22,"IRE Women"
275487,2015-08-26,"ENG Women"
275487,2015-08-28,"ENG Women"
275487,2015-08-31,"ENG Women"
275487,2016-01-26,"India Women"
275487,2016-01-29,"India Women"
275487,2016-01-31,"India Women"
275487,2016-02-28,"NZ Women"
275487,2016-03-01,"NZ Women"
275487,2016-03-04,"NZ Women"
275487,2016-03-18,"SA Women"
275487,2016-03-21,"NZ Women"
275487,2016-03-24,"SL Women"
275487,2016-03-26,"IRE Women"
275487,2016-03-30,"ENG Women"
275487,2016-04-03,"WI Women"
275487,2016-09-27,"SL Women"
275487,2017-11-17,"ENG Women"
275487,2017-11-19,"ENG Women"
275487,2017-11-21,"ENG Women"
275487,2018-03-22,"India Women"
275487,2018-03-23,"ENG Women"
275487,2018-03-26,"India Women"
275487,2018-03-28,"ENG Women"
275487,2018-03-31,"ENG Women"
275487,2018-09-29,"NZ Women"
275487,2018-10-01,"NZ Women"
275487,2018-10-05,"NZ Women"
275487,2018-10-25,"PAK Women"
275487,2018-10-27,"PAK Women"
275487,2018-10-29,"PAK Women"
275487,2018-11-09,"PAK Women"
275487,2018-11-11,"IRE Women"
275487,2018-11-13,"NZ Women"
275487,2018-11-17,"India Women"
275487,2018-11-22,"WI Women"
275487,2018-11-24,"ENG Women"
275487,2019-07-26,"ENG Women"
275487,2019-07-28,"ENG Women"
275487,2019-07-31,"ENG Women"
275487,2019-09-14,"WI Women"
275487,2019-09-16,"WI Women"
275487,2019-09-18,"WI Women"
275487,2019-09-29,"SL Women"
275487,2019-09-30,"SL Women"
275487,2019-10-02,"SL Women"
275487,2020-02-01,"ENG Women"
275487,2020-02-02,"India Women"
275487,2020-02-08,"India Women"
275487,2020-02-09,"ENG Women"
275487,2020-02-12,"India Women"
275487,2020-02-21,"India Women"
275487,2020-02-24,"SL Women"
275487,2020-02-27,"BAN Women"
275487,2020-03-02,"NZ Women"
275487,2021-03-28,"NZ Women"
275487,2021-03-30,"NZ Women"
275487,2021-04-01,"NZ Women"
275487,2021-10-07,"India Women"
275487,2021-10-09,"India Women"
275487,2021-10-10,"India Women"
275487,2022-12-09,"India Women"
275487,2022-12-11,"India Women"
275487,2022-12-14,"India Women"
275487,2022-12-17,"India Women"
275487,2022-12-20,"India Women"
275487,2023-01-24,"PAK Women"
275487,2023-01-26,"PAK Women"
275487,2023-02-11,"NZ Women"
275487,2023-02-14,"BAN Women"
275487,2023-02-16,"SL Women"
275487,2023-02-18,"SA Women"
275487,2023-02-23,"India Women"
275487,2023-02-26,"SA Women"
275487,2023-07-01,"ENG Women"
275487,2023-07-05,"ENG Women"
275487,2023-07-08,"ENG Women"
275487,2023-10-01,"WI Women"
275487,2023-10-02,"WI Women"
275487,2023-10-05,"WI Women"
275487,2024-01-05,"India Women"
275487,2024-01-07,"India Women"
275487,2024-01-09,"India Women"
275487,2024-01-27,"SA Women"
275487,2024-01-28,"SA Women"
275487,2024-01-30,"SA Women"
275487,2024-03-31,"BAN Women"
275487,2024-04-02,"BAN Women"
275487,2024-04-04,"BAN Women"
275487,2024-09-19,"NZ Women"
275487,2024-09-22,"NZ Women"
275487,2024-09-24,"NZ Women"
275487,2024-10-05,"SL Women"
275487,2024-10-08,"NZ Women"
275487,2024-10-11,"PAK Women"
275487,2024-10-13,"India Women"
275487,2024-10-17,"SA Women"
275442,2009-06-03,"NZ Women"
275442,2010-05-05,"ENG Women"
275442,2010-05-07,"SA Women"
275442,2010-05-09,"WI Women"
275442,2010-05-13,"India Women"
275442,2010-05-16,"NZ Women"
275442,2013-01-24,"NZ Women"
275442,2013-08-31,"ENG Women"
275442,2014-01-29,"ENG Women"
275442,2014-01-31,"ENG Women"
275442,2014-02-02,"ENG Women"
275442,2014-03-23,"NZ Women"
275442,2014-03-29,"PAK Women"
275442,2014-04-03,"WI Women"
275442,2014-04-06,"ENG Women"
275442,2014-08-30,"PAK Women"
275442,2014-08-31,"PAK Women"
275442,2014-09-03,"PAK Women"
275442,2014-09-05,"PAK Women"
275442,2014-11-02,"WI Women"
275442,2014-11-05,"WI Women"
275442,2014-11-07,"WI Women"
275442,2014-11-09,"WI Women"
275442,2015-08-19,"IRE Women"
275442,2015-08-21,"IRE Women"
275442,2015-08-22,"IRE Women"
275442,2015-08-26,"ENG Women"
275442,2015-08-28,"ENG Women"
275442,2015-08-31,"ENG Women"
275442,2016-02-28,"NZ Women"
275442,2016-03-01,"NZ Women"
275442,2016-03-04,"NZ Women"
275442,2016-03-18,"SA Women"
275442,2016-03-21,"NZ Women"
275442,2016-03-24,"SL Women"
275442,2016-03-26,"IRE Women"
275442,2016-03-30,"ENG Women"
275442,2016-04-03,"WI Women"
275442,2016-09-27,"SL Women"
275442,2017-02-17,"NZ Women"
275442,2017-02-19,"NZ Women"
275442,2017-02-22,"NZ Women"
275442,2017-11-17,"ENG Women"
275442,2017-11-19,"ENG Women"
275442,2017-11-21,"ENG Women"
275442,2018-03-22,"India Women"
275442,2018-03-23,"ENG Women"
275442,2018-03-26,"India Women"
275442,2018-03-28,"ENG Women"
275442,2018-03-31,"ENG Women"
275442,2018-09-29,"NZ Women"
275442,2018-10-01,"NZ Women"
275442,2018-10-05,"NZ Women"
275442,2018-10-25,"PAK Women"
275442,2018-10-27,"PAK Women"
275442,2018-10-29,"PAK Women"
275442,2018-11-09,"PAK Women"
275442,2018-11-11,"IRE Women"
275442,2018-11-13,"NZ Women"
275442,2018-11-17,"India Women"
275442,2018-11-22,"WI Women"
275442,2018-11-24,"ENG Women"
946057,2018-09-29,"NZ Women"
946057,2018-10-01,"NZ Women"
946057,2018-10-05,"NZ Women"
946057,2018-10-25,"PAK Women"
946057,2018-10-27,"PAK Women"
946057,2018-10-29,"PAK Women"
946057,2018-11-09,"PAK Women"
946057,2018-11-11,"IRE Women"
946057,2018-11-13,"NZ Women"
946057,2018-11-22,"WI Women"
946057,2018-11-24,"ENG Women"
946057,2019-07-26,"ENG Women"
946057,2019-07-28,"ENG Women"
946057,2019-07-31,"ENG Women"
946057,2019-09-14,"WI Women"
946057,2019-09-16,"WI Women"
946057,2019-09-18,"WI Women"
946057,2019-09-29,"SL Women"
946057,2019-09-30,"SL Women"
946057,2019-10-02,"SL Women"
946057,2020-02-01,"ENG Women"
946057,2020-02-02,"India Women"
946057,2020-02-27,"BAN Women"
946057,2020-03-02,"NZ Women"
946057,2020-03-05,"SA Women"
946057,2020-03-08,"India Women"
946057,2020-09-26,"NZ Women"
946057,2020-09-27,"NZ Women"
946057,2020-09-30,"NZ Women"
946057,2021-03-28,"NZ Women"
946057,2021-03-30,"NZ Women"
946057,2021-04-01,"NZ Women"
946057,2021-10-07,"India Women"
946057,2021-10-09,"India Women"
946057,2021-10-10,"India Women"
946057,2023-02-14,"BAN Women"
946057,2023-02-16,"SL Women"
946057,2023-02-18,"SA Women"
946057,2023-02-23,"India Women"
946057,2023-02-26,"SA Women"
946057,2023-07-01,"ENG Women"
946057,2023-07-05,"ENG Women"
946057,2023-07-08,"ENG Women"
946057,2023-10-01,"WI Women"
946057,2023-10-02,"WI Women"
946057,2023-10-05,"WI Women"
946057,2024-01-05,"India Women"
946057,2024-01-07,"India Women"
946057,2024-01-09,"India Women"
946057,2024-01-27,"SA Women"
946057,2024-01-28,"SA Women"
946057,2024-01-30,"SA Women"
946057,2024-03-31,"BAN Women"
946057,2024-04-02,"BAN Women"
946057,2024-04-04,"BAN Women"
946057,2024-09-19,"NZ Women"
946057,2024-09-22,"NZ Women"
946057,2024-09-24,"NZ Women"
946057,2024-10-05,"SL Women"
946057,2024-10-08,"NZ Women"
946057,2024-10-11,"PAK Women"
946057,2024-10-13,"India Women"
946057,2024-10-17,"SA Women"
381268,2015-08-19,"IRE Women"
381268,2015-08-21,"IRE Women"
381268,2015-08-22,"IRE Women"
381268,2015-08-26,"ENG Women"
381268,2015-08-28,"ENG Women"
381268,2015-08-31,"ENG Women"
381268,2016-01-26,"India Women"
381268,2016-01-29,"India Women"
381268,2016-01-31,"India Women"
381268,2016-03-01,"NZ Women"
381268,2016-03-04,"NZ Women"
